objID,u,g,r,i,z
588848900971299381,26.57031,23.25585,21.58674,20.89528,20.17569
588848900971299382,27.01483,23.60048,22.09218,20.9321,21.6625
588848900971299383,27.28281,21.58398,19.62055,19.19468,18.71539
588848900971299384,21.60258,21.98515,21.0988,20.461,20.20599
588848900971299386,21.55224,22.4416,21.78503,21.51348,20.88202
588848900971299387,22.01959,21.39459,20.60277,20.77392,20.27244
588848900971299388,23.99761,22.55342,21.71091,20.95719,20.63827
588848900971299389,24.59565,22.74034,21.46323,21.79506,21.99798
588848900971299411,26.26458,23.43718,21.50579,20.49277,19.27192
588848900971299413,22.20058,22.40366,21.65987,21.35716,20.38907
588848900971299415,23.61639,22.42132,21.0064,20.5092,19.61924
588848900971299417,25.28942,25.12463,21.826,22.41544,23.8204
588848900971299426,21.13549,25.13037,21.78355,21.0008,20.3856
588848900971299427,27.22039,22.31026,22.66705,21.44776,20.34124
588848900971299428,21.99245,22.79285,22.13609,24.28101,28.80105
588848900971299434,26.97582,24.85702,21.21536,24.37348,21.2319
588848900971299435,20.37125,21.73977,20.60224,19.60464,22.55044
588848900971299437,23.69624,25.26424,21.66761,21.66496,20.22272
588848900971299438,23.5064,22.37182,21.55494,20.77636,20.30311
588848900971299440,27.05039,22.77172,21.52179,21.41353,23.55957
588848900971299441,23.08539,23.1044,21.81736,20.79441,20.89384
588848900971299444,23.39302,23.042,22.00056,23.53905,21.55787
588848900971299447,22.37422,22.81873,21.44008,20.50109,19.51051
588848900971299455,21.77215,22.31815,21.60111,20.4154,19.90594
588848900971299456,27.3605,22.37257,21.87964,22.44662,21.67487
588848900971299457,24.11485,22.9837,21.77741,21.23463,20.3834
588848900971299458,23.33068,24.94587,21.34018,20.47248,20.307
588848900971299465,25.0782,22.95048,22.4796,21.03097,20.55734
588848900971299466,21.86953,22.15332,21.97711,30.21308,19.91283
588848900971299467,22.52741,23.04206,21.55845,21.51851,22.27512
588848900971299468,22.03148,23.08322,21.61169,21.7516,23.86934
588848900971299470,22.14567,23.30184,21.54163,25.61124,22.62231
588848900971299471,21.61394,30.76904,21.84939,31.47766,26.22961
588848900971299472,25.80298,26.69785,21.73463,22.17243,22.36987
588848900971299473,24.88851,22.57183,21.76315,20.90122,21.02818
588848900971299475,23.94255,23.44528,22.12253,21.13993,20.14782
588848900971299480,25.67481,23.41748,22.05593,23.60338,20.82425
588848900971299483,28.41015,23.61715,22.12396,24.13788,20.99634
588848900971299487,23.124,22.41646,21.73234,21.75475,21.77561
588848900971299488,23.16759,22.42822,21.45942,23.96834,19.63024
588848900971299491,26.58769,22.65935,21.4096,22.35262,21.04116
